reviews;;
[%shNK%];;
[%ixSY%] kalo beneran bagi deviden 51 sih auto cuan.. perusahaan sehat.. ga ada utang.. pe ratio masi rendah 6. Pbv dibawah 1.. prospek kedepan masi bagus.. valuasi masi murah harga 1230. Harusnya Resiko nya kecil.. perusahaan yg ga punya utang ga akan bangkrut. 😁.. apalagi cashnya melimpah.. [%kGLx%] [%cZEq%] [%cxWL%] [%elbE%];;
"[%Uukb%] big bank minggu depan siap2 reli
[%Gfrl%] [%ujpU%] [%HzpF%] [%jzAG%]";;
"[%yaHK%] Yok yang mau goreng, mumpung lagi RUPST nih naik ke 60 
[%TIXM%] [%Annc%] [%kMkU%] [%YYil%]";;
[%NIOR%] hufft;;
"[%nhNm%] RUPSLB 2022
RANDOM TAG : [%zGQs%] [%bKMI%] [%yXEl%] [%FJOA%]
[%yxbH%]";;
[%XQLG%] [%zthc%] [%KjHp%] [%fXzS%] [%jTsa%] [%KSbi%];;
"[%qceL%] saat ini berada di supportnya. Potensi reboundnya ada.
‼bergabung telegram CHECK BIO !!
[%xLKv%] [%iAdF%] [%gPqZ%] [%rrHY%]";;
"[%GdKY%] Ini pendapat pribadi dan tidak ada maksud ngefear emiten [%zYlA%] ini saya pake kacamata pribadi saya jadi gak usah pusing apabila convictionya lebih kuat.
Emiten Cyclicals itu mau dia expansi hulu hilir dan dll, tetep akan ada masanya dia labanya turun signifikan.
Kita bicara dia bisa pass on cost to consumer, banyak pengusaha liat profit INDR pasti ngiler dan akan ikut buka pabrik yang serupa dengan demikian lama2 supply dan harga menemukan equilibrium , kedepan profit lama2 makin kecil.
Semua cyclical lagi banjir duit kok pak bisa lihat coal company juga semua lagi rich in cash karena pada rebutan barang, tetapi tetep semua ada siklusnya jangan di paksakan cyclical company untuk menjadi growth company karena model bisnisnya beda dengan [%AuzW%] atau [%SUQP%].
Harga Saham INDR bisa aja naik ke 13.000 tetapi risknya mereka juga bisa turun ke 6.000 ini termasuk  high risk, padahal masih banyak saham lain dengan MOS lebih besar.
Masalah harga kapas 2011 ataupun 2022 selama harga sahamnya udah di apresiasi kita ga boleh tambah posisi pas harga sahamnya di pucuk karena resiko yang dimiliki akan jauh lebih tinggi.
Inget bursa saham bukan tempat cari free lunch 
dan Q2 saya rasa semua big fund dan retail mengetahui hasil Q2 commo pasti bagus kecuali CPO, ada kemungkinan pas Q2 keluar harga sahamnya bisa jadi sideways atau turun.
Hanya berbagi view saya soal INDR di harga sekarang.
[%mPbK%]";;
"Apabila kita sadar bahwa klo kita membutuhkan dana yg besar untuk cita-cita kemerdekaan finansial kita kelak, maka kita harus menyadari aset penting yg kita miliki saat ini ada waktu.
Time horizon yg panjang, dan keleluasaan kita buy and sell adalah privilage untuk investor plankton seperti saya.
Tetap nikmati saja perjalanannya.
Tag : [%PYNx%] [%FqaB%] [%kTMH%] [%qDAP%] [%LSnu%]";;
"Bursa US [%truN%] $sp500 Bear Market Rally minggu ini.
Trading cepat minggu ini di [%uqBU%] 
[%MQVb%] [%FVMN%]";;
"INSIGHT
5 Keytakes from famous trader Stephen Kalayjian
1. Consistency
Kamu ga perlu jadi trader yang menghasilkan puluhan persen sehari dalam waktu singkat. Kamu perlu konsistensi sedikit demi sedikit namun profitable.
2. Discipline
Saya ingat dulu ketika trading option saham coal, saya berharap harga terus naik karena saat itu musim dingin. Saya kemudian membeli option tsb namun harga terus turun dan membuat option saya tidak bernilai. Saya terus melakukan averaging sampai uang saya habis. Saya tidak mengakui kesalahan saya dan berusaha denial akan kesalahan yang menyebabkan kegagalan berlebihan. Kita pasti melakukan kesalahan dan selalu ada jalan untuk memperbaikinya. Terima dan lakukan perbaikan.
3. Confidence
Kita perlu percaya pada kemampuan analisa, tools dan indikator yang kita miliki untuk dapat bekerja dengan lebih baik. Saya terus mengembangkan hal tersebut untuk memperolah kepercayaan.
4. Patience
Saya belajar terus sabar melihat set up saya terjadi pada chart dan tidak terburu buru mengambil posisi.
5. Passion
Kamu harus punya passion terhadap dunia ini untuk bangun setiap pagi bersemangat untuk trading, adakalanya kerugian akan menghantui kamu dan passion adalah cahaya terang untuk kembali ke jalan yang benar.
[%ACKT%] [%IblO%] [%BUAt%] [%cYqM%] [%BIjS%]";;
[%zjNa%];;
"Halo kak kak senior. mau tanya krn saya pemula. 
apa ya artinya operating, investing &amp; financing di diagram cash flow ini?
- apakah operating itu biaya operasional perusahaan yg di keluarkan?
- apakah investing itu biasa investasi yg di keluarkan perusahaan kah? kalo iya itu sprti apa ya kak investasi yg di maksud?
- apakah financing itu ya kak? saya ga paham, artinya pembiayaan kah? 
😳🙄
[%XfMl%] [%sVUH%] [%tksq%] [%ZNAU%] [%CzIF%]";;
"[%QttA%]
Random [%CDTv%] [%MNiJ%] [%juoL%] [%DNPX%]";;
"[%Rnty%] [%NAxs%] [%CvHf%] [%IVdk%] [%QTVu%] 
Join Channel Komunitas Salam Cuan untuk dapet analisa saham GRATIS!
[%FIxr%]
IHSG hari ini ditutup -0.15% dengan dana asing +484M di pasar reguler. Meskipun hari ini IHSG ditutup merah, tetapi saya cukup puas ketika data FF sudah keluar. Ternyata asing masih berbaik hati dengan masih adanya inflow hari ini. Inflow hampir 500M ini juga terlihat terfokuskan di saham-saham besar IHSG seperti TLKM, BBCA, dan BMRI.
Dengan data seperti ini maka masih ada potensi IHSG untuk dibawa naik lagi (bukan langsung uptrend). Apakah naik untuk turun lebih dalam? Bisa saja. Apakah naik untuk lanjut terus naik lagi? Ya bisa juga. Tidak perlu menebak-nebak karena nantinya kita tinggal bereaksi saja terhadap rencana asing.";;
"[%GZuk%] sebagian orang menganggap ini sangat menarik.. ingat loh hanya sebagian 😁
DISCLAIMER ON BUKAN AJAKAN MEMBELI 
[%wYSD%] [%WcpS%] [%SMlR%] [%ypsv%]";;
"Tahun 2022 merupakan tahun turn around untuk [%qkOu%] tercermin dari pendapatan Q1 2022 naik 150% (QoQ). Penjualan terbesar disumbang dari penjualan apartemen yang naik 300% dan rumah tinggal naik 350% (QoQ). Pemulihan di sektor pariwisata juga tercermin dari pendapatan sektor hotel yang naik 90% (QoQ). Semoga hasil positif akan terus bertahan hingga akhir tahun dan pastinya market akan mengapresiasi harga sekarang yang masih undervalue.
[%OujW%] [%Ykeh%] [%kdwy%] [%sjmP%]";;
"Malam , hari ini kami akan kembali membahas potensi [%sNIS%] untuk besok 22/07/2022 . 
Hari ini IHSG close memerah senilai -0,16% di harga 6,864.13 dengan asing yang masih masuk senilai 538,78M . 
Secara gari besar teknikal , untuk besok IHSG masih akan cenderung sangat berflutuaktif mengingat beberapa news yang keluar belakangan ini namun posisi nya akan cenderung koreksi sehat , pertimbangan posisi untuk koreksi besok berada di area 6758.2056 - 6787.4946 dengan rate fibonacci dan support dinamis di rate 38,20% . 
How to trade . 
Untuk scalping atau day trade posisi nya masih akan cenderung menunggu , jikalau besok di berikan kesempatan BOW maka masuk dengan posisi beli berada di area 6758.2056 - 6787.4946 dengan asumsi close pullback dengan rentang harga target berada di area 6780.9750 - 6820.1869 . Sementara jikalau IHSG besok breakout dari resistancenya di harga 6892.5592 - 6939.0345 , maka titik tsb dapat di jadikan sebagai area entry dengan asumsi target bullish yang mana IHSG berpotensi tutup di area 6937.4939 - 7068.2198 . 
Posisi Swing sendiri masih akan cenderung relatif aman . 
Rekap Trade hari ini 
SCALPING / DAY 
1.BFIN : +3,53% 
2.NASI : +8,97% 
3.INDY : +1% 
4.ESSA : +10 - 22% 
5.LPPF : 13,48% 
6.BTC : 24% 
7.AGII : 15% chart sama 3x Total 45% 
8.FREN : 7% 
9.BRIS : 5% 
10.BNBA : 9% 
11.BFIN : 3-5% 
12.NASI : 8% 
13.MLIA : 8% 
14.BUMI : 11-33,78% 
15.SAME : 3% 
16.DEWA : 2% 
17.MPMX : CROSS / +1%nan kurang lebih
13.MDKA : 1-2% 
14.BUMI : +11--+33%
15.MLIA : +8%
16.TLKM ,BMRI , BBNI , BBRI , ASII : 5-8% 
17.BRPT : +6,30% 
SWING SPEED 
1.BMRI BBC BBRI ASII TLKM : 5-7%
2.MEDC : 10%
3.ELSA : 4%
4.PGAS :6%
5.BRPT : 2%
6.PALM CLOSE TRADE KENA TS : +22-26%
REKAP TRADE MONTHLY (ALLCLOSE TRADE) KECUALI BLUECHIP
1.UFOE : +31% (KENA TS DAN OUT)
2.MEDC : 5%
3.BUMI : 3-32%
4.MDKA : 3%
5.PTBA DKK : 4-12%
6: FILM : +50- +122,65% Happy bagger
7.IATA : 8%
8.SSMS : 13,32%
9.DEWA : CROSS BEP
10.ASII : 5%
11.LPPF : +9%
12.BRPT : 1%
13.PALM : 22,39%
14.NASI : +3%
15.AALI : +3%
16.TLKM : 3 - 5%
17.MPMX : CROSS
18.BBRI BMRI BBCA : 2-3%
19.UNTR : 13%
20.MLIA : +1,50%
21.GZCO : 19,74% (TP 1 )
22. FILM : 122% (MENUJU CLOSE HABIS)
23.SATU : 28% (MENUJU TP 2)
Monggo bergabung bersama kami dengan cara klik link berikut : [%rAII%] (100% Gratis trading plan harian rasa premium silahkan klik link di bio atau di atas)
Bagi yang ingin mentraktir mimin segelas expresso bisa langsung memberikan mimin tipjar ya .
[%fjoD%] [%zclL%] [%EXAK%] [%SwWB%]";;
"• Inverted head and shoulder 
• Classic MACD Bullish Divergence
• Breakout MA20D
• Frequency Analyzer
[%GcoC%] [%WQCQ%] [%HxVj%] [%ioAs%] [%wpiY%]";;
"BASIC SERIES:
Bandarmologi: How to Trade
July 30th, 2022 [%Pheb%] a.m.
Link pendaftaran bisa diakses di:
[%eQrZ%]
Contribution 100k (early bird), 125k (normal)
[%jdaP%] [%NUJK%] [%eEVQ%] [%QwYQ%] [%AQdI%]";;
"Besok dikasih pijakan lagi atau..  Langsung ngegas?? 😏
[%GBgd%] [%MROh%] [%HedE%] [%bDmn%]";;
"Mungkin data dibawah ini lebih tepat untuk investor konservatif dengan target jangka sangat panjang atau dividend lovers yang masih pemula atau menginginkan kenyamanan dan ketenangan batin. 
[%xuhw%] [%IkEx%] [%iFgo%] [%bmLw%]";;
"[%wZtn%] bsk nanjak sedikit kyknya, lumayan jual semua, not bad lah utk penutupan minggu ini. 
[%sWVA%] [%DhKq%] [%uuMi%] [%vOve%]";;
[%kuYN%] nah loh siapa yg tdi pagi buru2 CL 😂;;
"[%xBbP%] breakout resistance down trendnya, diikuti volume bandar yang terus meningkat. menarik nih buat para swing trader/scalper
[%JCyY%] [%KTeH%] [%SqlH%] [%twfk%]";;
gimana besok respon market [%yhTY%]  [%WssD%];;
"BI Hold BI7DRRR 3,5%
Random tag [%Ovuh%] [%OaPF%] [%vHPI%] [%Fsbw%]";;
"[%YdtE%] kecewa saya rate tetap... yahhh
[%khcZ%] [%PnTF%] [%HQaY%]";;
"BOCORAN MENU SORE POTENSI CUAN BESOK?
cek link di bio ya (:
[ADA YANG MENARIK DI BIO]
Dianalisa kembali ya, bukan ajakan membeli, hanya opini.
*Bukan ajakan *disclaimer on *DYOR
Random Tag: [%fMtn%] [%fECz%] [%Qiek%] [%hQQg%] [%tBfc%]
[AKSES REKOM TERBAIK DI BIO!]";;
"share bahan bacaan dong mau itu saham atau sejarah maupun bacaan yang menambah wawasan 🙏
edisi stok bacaan menipis hehehh 
random tag [%wzZn%] [%fjIU%] [%wpMC%] [%rezG%] [%ZfYK%]";;
"DISCLAIMER ON!!
[%lFPD%] terlihat ingin membentuk cup n handle. bandar dan akumulasi beberapa hari terakhir. jika berhasil menembus 735. target terdekat 785.
random tag [%FjEz%] [%Geka%] [%sSgB%] [%NRBr%]";;
[%YOXy%] Closing 400 nih;;
"SESUAI PREDIKSI !! [%aMLK%] naik gila2an sudah di info harga bawah  pas ada akumulasi👆
‼bergabung telegram CHECK BIO !!
[%zGbt%] [%BrIa%] [%dhsw%] [%AHxk%]";;
"SUKU BUNGA TETAP POK POK POK
[%KHFl%] [%bNOS%] [%QNVl%] [%cwAh%] [%zRRS%]";;
"Renyahnya Fitur Block di Stockbit
Forum Stockbit saya rasa merupakan salah satu forum pembahasan saham yang sangat komprehensif baik dari segi penyediaan fitur maupun user-usernya. Forum Stockbit ini sangat ramai dan berisikan suhu-suhu terkenal yang kerap membagikan ilmunya secara gratis. Sudah tidak perlu capek-capek untuk membaca buku tentang saham yang sangat tebal karena kebaikan hati user-user di sini yang kerap membagikan intisari dari bacaan tersebut. Contoh nyata yang saya alami pula ketika sedang tidak sempat mengikuti RUPST salah satu emiten, saya dapat memperoleh informasi penting dengan menyimak pembahasan pada stream di forum ini. Jauh lebih cepat daripada menunggu media.
Pun demikian, tidak sedikit pula oknum-oknum yang menggunakan forum ini untuk ajang beriklan, penggiringan opini, mengumpat atau berkata kasar, dan bahkan post tidak jelas yang dilakukan dengan tujuan spamming. Beruntung dengan adanya fitur block user di Stockbit, dapat secara efektif menyeleksi dan mengeliminasi post dan juga user yang tidak bertanggung jawab. Sehingga stream Stockbit dapat menjadi lebih kondusif dan terhindar dari junk atau spam post, serta lebih enak dilihat. Hanya menyisakan para suhu baik hati yang gemar memberikannya post kaya akan ilmu pengetahuan.
Random Tag:
[%jxbX%] [%FKfN%] [%rjKf%] [%QBGy%] [%qbTs%]";;
"Jangan dibully ya, baru belajar investasi di stockbit.
Thank you stockbit udah memfasilitasi laporan laporan yang lengkap
Kalau bisa tambahin juga edukasi nya biar investor retail seperti saya bisa rutin nabung saham terus setiap bulan
Random tag 
[%kTOq%] [%gBJO%] [%kIpI%] [%hthe%] [%gLvx%]";;
"[%DcBp%] [%BEtO%] [%iOtB%] [%wYFy%] [%HmjZ%]
KANDIDAT JUARA SERI A 2022-2023";;
"jam kedua? 
[%nxiz%] [%eqXZ%] [%hHhg%] [%GIzO%] [%KHbl%]";;
"Resesi Minggir! Ekonomi RI 2022 Malah Diramal Meroket 5,2%
Sumber: [%XyKF%]
[%HXNB%] [%AbCI%] [%tdeF%] [%LwpT%] [%Hvnc%]";;
[%sEus%] Akankah kembali ke posisi tertingginya? Mengingat pemasukan perusahaan Sudah besar, dan sangat menjanjikan prospek ke depannya.  [%dNjm%] [%oFph%] [%LDMG%] [%aNvN%];;
[%zfLe%] jir udh 15 K aja akhir juli the fed naikin 100 bp ... siap siap guys [%GHTF%] [%BYrv%] [%qtqE%];;
"[%dnlI%] sudah diinfo kemarin di [%vqVo%]
nebeng bandar pagi Open 322 High 340 , profit 5%
Happy cuan terus tiap hari.
Tag ritel lagi nunggu naik: 
[%rnay%] [%ttdg%] [%FhDO%] [%Nyuw%]";;
"BREAKING NEWS 
Setelah Insiden Pembekuan dana Nasabah di Bank China, 
Perbankan di China mulai kerahkan Tank Tempur untuk cegah Masyarakat menarik uang besar besaran.
Sumber Video: [%hcSe%]
[%OOhR%] [%pBSC%] [%vFNb%] [%aAWD%] [%uStM%]";;
"Bid dan offer, bedanya apa sih? 
[%eVQK%] [%tpnj%] [%hOGx%] [%YBZe%] [%kaNb%]";;
"[%Rgjn%] . 
Sesi 1 ini , Goto di tutup turun senilai -2,80% di harga 300 .
Di lihat dari sisi pandang teknikal saham ini sudah kembali membentuk downtrend channeiling jangka pendek dengan support downtrendline berada di area 286 , asumsi pantulan yang akan terjadi di saham ini akan sangat bergantung pada support tersebut , rentang terjadinya rebound bisa berada di harga 332-354 . 
Besar kemungkinannya bahwa saham ini akan kembali koreksi kembali dalam 1-3 harian , but take it slow dan terus perhatikan . 
How to trade ? asumsi BOW saat ini berada di 290-286 dengan target terdekat berada di area 332 -354 . 
Discon DYOR 
Rekap trade hari ini 
1.LPPF : 13,48% 
2.BTC : 24% 
3.AGII : 15% chart sama 3x Total 45% 
4.FREN : 7% 
5.BRIS : 5% 
6.BNBA : 9% 
7.BFIN : 3-5% 
8.NASI : 8% 
9.MLIA : 8% 
10.BUMI : 11-33,78% 
11.SAME : 3% 
12.DEWA : 2% 
Monggo bergabung bersama kami dengan cara klik link berikut : [%DdRa%] (100% Gratis trading plan harian rasa premium silahkan klik link di bio atau di atas)
Bagi yang ingin mentraktir mimin segelas expresso bisa langsung memberikan mimin tipjar ya .
[%UnSN%] [%scvN%] [%BEHy%] [%jMBF%]";;
"[%VINa%] 
Sedikit sharing analisa singkat perusahaan furniture di Vietnam dan Malaysia,
Dari Vietnam yg saya cek ada Phu Tai JSC, An Cuong Wood, Truong Thanh Furniture
Dari Malaysia ada Po Huat, Homeritz, Eurospan, Liihen.
Dari 2 negara tersebut PE berkisar 7 - 11,
Kalau dari web simplywallst, ada data PE kompetitor (ini auto keluar jd saya ga tau kompetitornya betulan apple to apple atau tidak) PE kompetitor berkisar 5 - 6
Kalau dari price action rata2 harga saham sedang koreksi dari harga tertingginya.
Dari yang saya baca di malaysia sempat terdampak dari efek lock down panjang, sehingga jadwal kirim barang mundur 3 bulan, dan lagi mereka kekurangan tenaga kerja (asing).
Secara earnings perusahaan2 tersebut tidak tumbuh konsisten, bahkan perusahaan furniture yg lainya di negara tersebut ada yg rugi.
Apakah karena market sharenya diambil Indonesia?
Apakah harga saham WOOD ikut turun karena terdampak sentimen global perusahaan sejenis di luar negri yang memang sedang turun juga?
[%AORA%] [%hMax%] [%hjhI%] [%NsmD%]";;
"[ [%GKac%] REVIEW 21/07/2022]
IHSG sesi 1 perdagangan ditutup di 6820-an, support terakhir yang menunjang IHSG saat ini berada di harga 6795. IHSG berpotensi untuk kembali sideways lagi di rentang harga 6840 - 6795 sebelum melanjutkan kenaikannya. Area tsb berdaarkan golden ratio dari fibonacci retracement. 
Semoga IHSG bisa cepat pulih ya. 
[AKSES REKOM TERBAIK DI BIO!]
Stockbiters tim wait &amp; see dulu atau waktunya serok harga-harga saham diskon nih? Atau hari ini sudah bungkus profit di emiten apa saja nih?
Dianalisa kembali ya, bukan ajakan membeli, hanya opini.
*Bukan ajakan *disclaimer on *DYOR
Random Tag
[%olXX%] [%GShz%] [%EHTa%] [%xLJA%]
[AKSES REKOM TERBAIK DI BIO!]";;
[%xbfC%];;
"[%iVus%] [%bFYw%] [%ZXzg%] [%QJPy%] [%RfKs%] gasken ndar  Resesi Minggir! Ekonomi RI 2022 Malah Diramal Meroket 5,2%
 [%upos%]";;
"Indeks Harga Saham Gabungan ([%jZIe%]) hari ini diproyeksikan menguat terbatas dan rawan profit taking. BNI Sekuritas merekomendasikan saham PT Bank Central Asia Tbk (BBCA), PT Astra International Tbk (ASII), PT Telkom Indonesia Tbk (TLKM) dan PT Mitra Keluarga Karyasehat Tbk (MIKA).
Investor dapat memantau saham [%TpBX%] dengan rekomendasi trading sell 7.450-7.500 target 7.300/7.175 stop di atas 7.550. Kemudian saham [%WhfZ%] direkomendasikan buy 6.175 - 6.250 target 6.325/6.475 stop loss di bawah 6.000/5.825.
Selanjutnya saham [%SfSM%] dengan rekomendasi buy 4.180-4.200 target 4.250/4.300 stop loss di bawah 4.000. Sementara saham [%KJcB%] direkomendasikan akumulasi buy target 2.900/2.950 stop loss di bawah 2.740.";;
"[%ZKZo%] Mau Ku Naikin atau Agak Kebawahin Nihhh !!!??? 
Ku Kebawahin aja Dah Yaa ke 80 🧔🏻‍♀️🧌🧌🧌
random tag [%MQph%] [%MsTh%] [%wYva%] [%akNj%]";;
"[IHSG REVIEW 21 JULI 2022]
Hari ini IHSG sempat menguat sebentar di awal pembukaan market lalu langsung koreksi ke area 6810-6840. Terlihat IHSG hari ini berusaha menembus resisten nya di 6870 tapi tidak berhasil. Tercatat sebanyak 220 saham berhasil menguat, 225 saham melemah dan sisahnya stagnan.
[AKSES REKOM TERBAIK DI BIO.. 😁 ] 
Analisa kembali, bukan ajakan membeli dan hanya opini disc on
[%iDMg%] [%rIzc%] [%dwdK%] [%zlKt%]";;
"21/07/2022
[%tzpr%]
Buy Area : 197-198
Tp Scalping : 212
Tp Slow : 228
Tp Mid Term : 236
Tp Long Term : 262
Avg down untuk Slow, Mid Term and Long Term : 190
CL : 188
Random Tags : [%ABtW%] [%yovZ%] [%ugvw%] [%ZWqG%]";;
"[BERITA IHSG 21 JULI 2022]
 Sampai dengan 20 Juli 2022 telah terdapat 27 Perusahaan yang mencatatkan saham di Bursa Efek Indonesia dengan total dana yang berhasil dihimpun sebesar Rp19,3 triliun dan masih terdapat 36 perusahaan dalam pipeline pencatatan saham. 
Secara rinci daftar calon emiten tersebut masuk dalam kategori 2 Perusahaan dari sektor Basic Materials, 2 Perusahaan dari sektor Industrials, 5 Perusahaan dari sektor Transportation &amp; Logistic, 9 Perusahaan dari sektor Consumer Non-Cyclicals, 8 Perusahaan dari sektor Consumer Cyclicals, 2 Perusahaan dari sektor Technology, 2 Perusahaan dari sektor Healthcare, 2 Perusahaan dari sektor Energy, 1 Perusahaan dari sektor Properties &amp; Real Estate dan 3 Perusahaan dari sektor Infrastructures.
💎[AKSES REKOM TERBAIK DI BIO YA..] 
Analisa kembali, bukan ajakan membeli dan hanya opini disc on
[%Dsxn%] [%Zfjk%] [%OotH%] [%QqJD%] [%qAUr%]";;
"Mari kita duduk-duduk santai di [%WfPj%]
[%ogfh%] [%giXW%] [%KFSM%] [%iYgD%]";;
"Lah SB malah Semua open order di Rejected..
Untung Ada cek kalau gk, gk ke jual..
[%yHeh%] [%nwks%] [%VpQg%] [%iGMO%] [%yZBt%]";;
"[%Dnxo%]
[%UxCT%]
cara asing keluar dari blue chip. 
semalam asing awal market di kerek naik.. supaya orang orang² yg fomo ikut beli.. lalu di respon market dari awal sesi.. kemudian asing jualan di sesi 2..sampai sekarang wkwkwk";;
[%LWrA%] masih koreksi hari ini keliatannya;;
"[%MWNK%] ke 6900 dulu.
Marketnya mulai FOMO lagi. 
Hehee

[%YwBB%] [%lsAY%] [%AEpp%] [%hgOm%]";;
"Selamat pagi, 
Pergerakan [%jYYs%] (20/07) ditutup pada zona hijau dilevel 7400.  Berdasarkan indikator macd sudah golden cross . Untuk range pergerakan di level 7150 - 7500. 

	
	

Klik follow untuk mengikuti informasi setiap harinya. 


[%pRYA%] [%JMUq%] [%MbuN%]";;
"[%xvxM%]

Buy Area : 143-145

Tp Scalping : 158
Tp Slow : 170
Tp Mid Term : 199
Tp Long Term : 220

Avg down untuk Slow, Mid Term and Long Term : 120

CL : 115

Random Tags : [%HAsu%] [%ulQr%] [%vUXW%] [%ruwW%]";;
"Market Info - 20 Juli 2022:

Top Akumulasi
- BMRI - ZP, 7.865
- ADRO- ZP, 3.010
- [%RovT%]  - AK, 284
- ASHA - BK, 326
- BRIS - PD, 1.540

Top Distribusi
- MDKA - BK, 3.830
- [%Nbcg%] - AK, 1.685
- [%yPFH%] - MG, 190
- FILM - PD, 2.785
- ESTA - PF, 448

Top Foreign Buy
- BMRI, 277 M, 7.855
- [%PSuv%] , 245 M, 4.270
- [%aCsP%] , 111 M, 7.345
- PTBA, 76 M, 4.045
- ADRO, 55 M, 3.010

Top Foreign Sell
- MDKA, 141 M, 3.830
- BBNI, 115 M, 7.650
- FILM, 62 M, 2.750
- PGAS, 42 M, 1.615
- INCO, 34 M, 5.180

Note: Angka disebelah kode saham merupakan harga rata-rata penjualan / pembelian pada akhir perdagangan kemarin. Silahkan LIKE agar kami tahu jika post ini bermanfaat dan dapat terus melakukan posting seperti ini, FOLLOW untuk mendapatkan update posting dan berikan COMMENT untuk request data lainnya. Join group telegram [%yZJD%]_idx untuk rekomendasi saham harian dan informasi rumor bursa.";;
"[%MnNV%] 
.
*Catat! Mulai Agustus, Jokowi Geber Bangun Infrastruktur IKN*
Presiden Joko Widodo (Jokowi) memimpin rapat terbatas membahas Ibu Kota Nusantara (IKN) di Kantor Presiden, Jakarta, Rabu (20/7/2022). Dalam keterangan pers setelah rapat, Kepala Otorita IKN Bambang Susantono memastikan pembangunan akan dimulai bulan depan.

""IKN ini akan segera dibangun terutama pada bulan Agustus mendatang di mana pekerjaan-pekerjaan infrastruktur-infrastruktur dan bangunan-bangunan inti akan mulai dipersiapkan,"" ujarnya.
Bangunan inti dimulai dari Istana dan Kantor Presiden, Kantor Wakil Presiden, Kantor DPR/MPR, Kantor Mahkamah Agung, hingga Kantor Kementerian Koordinasi.

Menurut Bambang, nanti akan terlihat berbagai pekerjaan yang berhubungan dengan land consolidation, land clearing, dan pematangan tanah. Pekerjaan lain yang akan dimulai adalah akses-akses logistik.
""Dengan harapan di tahun depan kita sudah mulai full scale dalam skala penuh untuk membangun infrastruktur-infrastruktur dan bangunan-bangunan inti,"" kata Bambang.

Berita Selengkapnya : [%sSkc%]
.
Pattern : Double Bottom (Confirm if close &gt;1000)
BOW  860-890
BOB &gt;1000
Risk Level &lt;860
.
Free E-Book &amp; Join Telegram : [%tevb%]
Random Tag : [%qtKL%] [%QojM%] [%lvTq%] [%cTFE%]";;
JAKARTA, [%wkpw%] — BNI Sekuritas memprediksi IHSG rawan profit taking pada perdagangan Kamis (21/7/2022). Cermati empat saham pilihan hari ini, yaitu BBCA, ASII, TLKM, dan MIKA. Head of Technical Analyst Research BNI Sekuritas Andri Zakaria Siregar mengatakan, secara teknikal IHSG hari ini di...;;
"[%dYIq%] saat ini berada di supportnya . Waktunya cicil kontruksi yang belum manggung. Dengan sentimen IKN bulan depan akan di mulai. 

‼bergabung telegram CHECK BIO !!

[%oLKI%] [%Bhyj%] [%kGRo%] [%rzvJ%]";;
maksudnya apa sih bro? [%iYXN%] atau [%GYJj%] ?? koq gambaran nya [%zXXH%] sih?;;
HARI GINI MO KAYA KOK BELI [%jBfM%] [%LktL%] 🙊 berbahagialah !!!;;
"[%zRyR%] [%CALT%] [%ZanW%] [%tjIu%] [%ZeLx%]

BERBAHAGIALAH MREKAH NYANG MENDENGARKAN SAYA 🤺🏋️ 
obelix bin ikanputin";;
"[%ZsIJ%] [%lOam%] [%JRow%] [%woau%] [%NRCM%]

BERBAHAGIALAH MREKAH NYANG MENDENGARKAN SAYA 🤺🏋️ 
obelix bin ikanputin";;
"analisa tehnikal saham [%WXWc%] [%CwUX%] [%znox%] [%fJaC%] [%BuLW%]


gabung telegram :  [%nfkE%] gratis

[%JgmJ%]";;
"[%Zsqz%]

Take It or Leave It 💸💯!

ingat ini ada kerjasama dengan [%tdEj%] gak kaleng"" 😁✌️

apakah teman"" [%zQwj%] [%erNy%] [%VOWj%] melirik nih uvcr?";;
"Rekomendasi Saham 21 Juli 2022

Watchlist 10 saham menarik untuk trading:

[%uFRv%] buy on weakness aja
[%Wxir%] pennat flag
[%DiUv%] siap2 yak
[%CzUr%] yang udh beli bisa hold dan ts profit
[%KGIS%] valuasi murah
 
Selengkapnya: [%JIUZ%]
 
Hal yang perlu diperhatikan: 
1. Rupiah melemah otw 16000??
2. Tunggu rilis LK Q2 2022
3. Hati-hati covid dan inflasi
4. Suku bunga naik atau tetap??
 
Disc on";;
mana HnS nya [%kaZQ%] ?;;
"Malam semuanya, malem-malem gini pas banget nih buat persiapan trading untuk esok hari lagii 😄

Yuk intip postingan watchlist untuk besok disini: 

[%eqwP%]

Dianalisa kembali ya, bukan ajakan membeli, hanya opini.
*Bukan ajakan *disclaimer on *DYOR

Random Tag: [%aSWh%] [%sSad%] [%Mkdv%] [%rJNb%] [%Noby%]

[AKSES REKOM TERBAIK DI BIO!]";;
"🛑 Analisis [%FtZW%] (Ladangbaja Murni)

Meski menunjukkan penurunan hari ini, LABA masih cenderung berpotensi bagus. Kenapa? karena kalau dia bertahan diatas support 155 sampai 158-nya, maka dia terkonfirmasi breakout pattern bullish inverted head n shoulders yang dibentuk-nya. Dan pattern tersebut secara teori teknikal bisa bergerak naik hingga neckline-nya, dalam saham LABA ini sampai 180.

[%KUXY%]

[%QPFn%] [%FCfy%] [%WtKI%] [%IuqP%]";;
